"","county","city","dlgs_code","ld","cd","population","x2020_african_american","x2020_asian","x2020_hispanic"
"1","atlantic","absecon",101,2,2,"9137","11.33","7.56","11.89"
"2","atlantic","atlantic city",102,2,2,"38497","33.97","16.13","29.91"
"3","atlantic","brigantine",103,2,2,"7716","2.01","4.99","6.32"
"4","atlantic","buena",104,2,2,"4501","7.09","1.76","32.19"
"5","atlantic","buena vista",105,2,2,"7033","10.48",".84","12.92"
"6","atlantic","corbin city",106,1,2,"471",".42","0","3.61"
"7","atlantic","egg harbor",107,2,2,"4396","19.11","2.66","27.82"
"8","atlantic","egg harbor twp",108,2,2,"47842","8.96","12.55","17.42"
"9","atlantic","estell manor",109,1,2,"1668","1.98",".12","3.84"
"10","atlantic","folsom",110,2,2,"1811","2.6",".33","9.61"
"11","atlantic","galloway",111,9,2,"37813","11.55","10.12","13.24"
"12","atlantic","hamilton",112,2,2,"27484","17.79","6.04","14.77"
"13","atlantic","hammonton",113,8,2,"14711","2.7","1.07","23.91"
"14","atlantic","linwood",114,2,2,"6971","1.25","4.89","5.19"
"15","atlantic","longport",115,2,2,"893",".56",".34","1.46"
"16","atlantic","margate",116,2,2,"5317",".21","1","3.44"
"17","atlantic","mullica",117,2,2,"5816","3.85",".65","17.28"
"18","atlantic","northfield",118,2,2,"8434","2.34","5.51","11.55"
"19","atlantic","pleasantville",119,2,2,"20629","34.83","2.1","50.01"
"20","atlantic","port republic",120,9,2,"1101",".64","1.09","3.36"
"21","atlantic","somers point",121,2,2,"10469","7.59","2.77","13.12"
"22","atlantic","ventnor",122,2,2,"9210","2.63","7.73","15.57"
"23","atlantic","weymouth",123,1,2,"2614","3.18",".88","6.66"
"24","bergen","allendale",201,40,5,"6848",".61","12.22","6.66"
"25","bergen","alpine",202,37,5,"1762","3.06","33.65","6.87"
"26","bergen","bergenfield",203,38,5,"28321","6.69","25.5","32.21"
"27","bergen","bogota",204,37,5,"8778","6.66","8.52","51.33"
"28","bergen","carlstadt",205,36,9,"6372","2.07","9.54","24.83"
"29","bergen","cliffside park",206,36,9,"25693","2.55","14.73","34.85"
"30","bergen","closter",207,39,5,"8594",".97","35.01","8.44"
"31","bergen","cresskill",208,37,9,"9155",".98","31.29","6.88"
"32","bergen","demarest",209,39,5,"4981",".82","31.36","5.42"
"33","bergen","dumont",210,39,5,"17863","2.82","17.25","21.74"
"34","bergen","east rutherford",212,36,9,"10022","4.55","16.08","25.5"
"35","bergen","edgewater",213,32,9,"14336","5.39","35.37","13.66"
"36","bergen","elmwood park",211,35,9,"21422","6.97","11.05","27.53"
"37","bergen","emerson",214,39,5,"7290","1.48","9.73","13"
"38","bergen","englewood",215,37,9,"29308","24.5","9.77","32.89"
