"","","","","","Census Population","% African American","% Asian","% Hispanic"
"County","Municipality","DLGS Code","LD","CD","2020: Census Population","2020: % African American","2020: % Asian","2020: % Hispanic"
"Atlantic","Absecon","0101","2","2","9137","11.33","7.56","11.89"
"Atlantic","Atlantic City","0102","2","2","38497","33.97","16.13","29.91"
"Atlantic","Brigantine","0103","2","2","7716","2.01","4.99","6.32"
"Atlantic","Buena","0104","2","2","4501","7.09","1.76","32.19"
"Atlantic","Buena Vista","0105","2","2","7033","10.48",".84","12.92"
"Atlantic","Corbin City","0106","1","2","471",".42","0","3.61"
"Atlantic","Egg Harbor","0107","2","2","4396","19.11","2.66","27.82"
"Atlantic","Egg Harbor Twp","0108","2","2","47842","8.96","12.55","17.42"
"Atlantic","Estell Manor","0109","1","2","1668","1.98",".12","3.84"
"Atlantic","Folsom","0110","2","2","1811","2.6",".33","9.61"
"Atlantic","Galloway","0111","9","2","37813","11.55","10.12","13.24"
"Atlantic","Hamilton","0112","2","2","27484","17.79","6.04","14.77"
"Atlantic","Hammonton","0113","8","2","14711","2.7","1.07","23.91"
"Atlantic","Linwood","0114","2","2","6971","1.25","4.89","5.19"
"Atlantic","Longport","0115","2","2","893",".56",".34","1.46"
"Atlantic","Margate","0116","2","2","5317",".21","1","3.44"
"Atlantic","Mullica","0117","2","2","5816","3.85",".65","17.28"
"Atlantic","Northfield","0118","2","2","8434","2.34","5.51","11.55"
"Atlantic","Pleasantville","0119","2","2","20629","34.83","2.1","50.01"
"Atlantic","Port Republic","0120","9","2","1101",".64","1.09","3.36"
"Atlantic","Somers Point","0121","2","2","10469","7.59","2.77","13.12"
"Atlantic","Ventnor","0122","2","2","9210","2.63","7.73","15.57"
"Atlantic","Weymouth","0123","1","2","2614","3.18",".88","6.66"
"Bergen","Allendale","0201","40","5","6848",".61","12.22","6.66"
"Bergen","Alpine","0202","37","5","1762","3.06","33.65","6.87"
"Bergen","Bergenfield","0203","38","5","28321","6.69","25.5","32.21"
"Bergen","Bogota","0204","37","5","8778","6.66","8.52","51.33"
"Bergen","Carlstadt","0205","36","9","6372","2.07","9.54","24.83"
"Bergen","Cliffside Park","0206","36","9","25693","2.55","14.73","34.85"
"Bergen","Closter","0207","39","5","8594",".97","35.01","8.44"
"Bergen","Cresskill","0208","37","9","9155",".98","31.29","6.88"
"Bergen","Demarest","0209","39","5","4981",".82","31.36","5.42"
"Bergen","Dumont","0210","39","5","17863","2.82","17.25","21.74"
"Bergen","East Rutherford","0212","36","9","10022","4.55","16.08","25.5"
"Bergen","Edgewater","0213","32","9","14336","5.39","35.37","13.66"
"Bergen","Elmwood Park","0211","35","9","21422","6.97","11.05","27.53"
"Bergen","Emerson","0214","39","5","7290","1.48","9.73","13"
"Bergen","Englewood","0215","37","9","29308","24.5","9.77","32.89"
"Bergen","Englewood Cliffs","0216","37","9","5342","2","47.44","6.38"
"Bergen","Fair Lawn","0217","38","5","34927","2.24","12.79","15.37"
"Bergen","Fairview","0218","32","8","15025","1.6","4.62","66.68"
"Bergen","Fort Lee","0219","37","9","40191","2.97","42.17","13.38"
"Bergen","Franklin Lakes","0220","40","5","11079","1.55","9.49","7.09"
"Bergen","Garfield","0221","35","9","32655","5.16","3.02","39.14"
"Bergen","Glen Rock","0222","38","5","12133","1.34","13.33","6.99"
"Bergen","Hackensack","0223","37","5","46030","20.76","10.28","41.76"
"Bergen","Harrington Park","0224","39","5","4741",".74","22.13","6.31"
"Bergen","Hasbrouck Heights","0225","38","9","12125","2.75","11.72","21.04"
"Bergen","Haworth","0226","39","5","3343","1.53","16.3","5.71"
"Bergen","Hillsdale","0227","39","5","10143","1.13","7.32","11.22"
"Bergen","Ho-Ho-Kus","0228","40","5","4258",".61","7.54","7.09"
"Bergen","Leonia","0229","37","9","9304","2.17","41.66","17.94"
"Bergen","Little Ferry","0230","36","9","10987","4.27","24.73","31.56"
"Bergen","Lodi","0231","38","5","26206","7.71","8.37","41.36"
"Bergen","Lyndhurst","0232","36","9","22519","3.06","7.05","27"
"Bergen","Mahwah","0233","39","5","25487","2.69","11.1","8.65"
"Bergen","Maywood","0234","38","5","10080","6","14.31","25.47"
"Bergen","Midland Park","0235","40","5","7014","1","3.44","10.46"
"Bergen","Montvale","0236","39","5","8436","1.43","15.69","8.1"
"Bergen","Moonachie","0237","36","9","3133",".64","11.2","41.24"
"Bergen","New Milford","0238","38","5","16923","4.7","20.21","19.52"
"Bergen","North Arlington","0239","36","9","16457","1.56","7.13","31.04"
"Bergen","Northvale","0240","37","5","4761","1.16","26.84","11.95"
"Bergen","Norwood","0241","39","5","5641","1.31","32.07","7.41"
"Bergen","Oakland","0242","39","5","12748",".93","4.75","9.49"
"Bergen","Old Tappan","0243","39","5","5888","1","27.17","6.45"
"Bergen","Oradell","0244","38","5","8244",".89","15.49","8.9"
"Bergen","Palisades Park","0245","37","9","20292","1.29","58.64","23.96"
"Bergen","Paramus","0246","38","5","26698","1.72","26.09","10.53"
"Bergen","Park Ridge","0247","39","5","8883","1.02","7.1","10.54"
"Bergen","Ramsey","0248","39","5","14798",".86","7.66","9.29"
"Bergen","Ridgefield","0249","36","9","11501","1.74","28.86","29.07"
"Bergen","Ridgefield Park","0250","36","9","13224","4.91","11.04","46.8"
"Bergen","Ridgewood","0251","40","5","25979","1.36","17.54","7.96"
